year,fossil_and_industry_gtco2,land_use_change_gtco2,anthropogenic_co2_sources_gtco2,cumulative_anthropogenic_co2_sources_since_1850_gtco2
1850,0.1968475949999999,2.714022506666668,2.910870101666668,2.910870101666668
1851,0.19877854700000014,2.8207670400000002,3.0195455870000005,5.930415688666669
1852,0.20759509100000004,2.9173500800000003,3.1249451710000002,9.055360859666669
1853,0.217236968,2.93545024,3.152687208,12.208048067666669
1854,0.25503855700000005,2.975558826666668,3.230597383666668,15.438645451333336
1855,0.26025985099999993,3.0278196800000003,3.288079531,18.726724982333337
1856,0.2782456270000001,3.0438680000000002,3.3221136270000002,22.048838609333338
1857,0.2811810479999999,3.0916832000000003,3.372864248,25.421702857333337
1858,0.28554838299999996,3.1124214400000003,3.3979698230000004,28.819672680333337
1859,0.302572165,3.15591312,3.458485285,32.278157965333335
1860,0.332298445,2.895976746666668,3.2282751916666683,35.506433157000004
1861,0.3491901659999999,2.76661312,3.1158032860000002,38.622236443000006
1862,0.3559910690000002,2.692258346666668,3.0482494156666684,41.67048585866667
1863,0.37953487800000174,2.6628242133333324,3.042359091333334,44.712844950000004
1864,0.409525422999999,2.686542506666668,3.096067929666667,47.80891287966667
1865,0.43485132000000115,2.608279466666668,3.0431307866666693,50.852043666333344
1866,0.4490670139999989,2.6209691200000003,3.070036133999999,53.92207980033334
1867,0.48081390799999946,2.575010346666668,3.0558242546666676,56.97790405500001
1868,0.4944935269999982,2.56326112,3.057754646999998,60.035658702000006
1869,0.5247310619999997,2.5559697600000004,3.0807008220000003,63.116359524
1870,0.5361232759999983,2.911426613333332,3.4475498893333305,66.56390941333333
1871,0.5697765869999993,2.99704208,3.5668186669999993,70.13072808033333
1872,0.6309614729999995,3.157806186666668,3.788767659666667,73.91949573999999
1873,0.6704672129999996,3.2091876800000003,3.8796548929999997,77.79915063299998
1874,0.6286622350000017,3.310692693333332,3.9393549283333336,81.73850556133331
1875,0.6810479829999986,3.3322248,4.013272782999999,85.75177834433332
1876,0.6905825230000003,3.38751456,4.078097083,89.82987542733332
1877,0.7040328619999991,3.47665968,4.180692541999999,94.01056796933332
1878,0.7096495189999986,3.5314975466666683,4.2411470656666665,98.25171503499999
1879,0.7597943629999999,3.5886070933333323,4.348401456333332,102.60011649133332
1880,0.8582277949999999,3.62310976,4.481337555,107.08145404633332
1881,0.8881725570000008,3.603458506666668,4.491631063666668,111.57308511
1882,0.9381580899999994,3.6836756800000003,4.621833769999999,116.19491887999999
1883,0.9978624869999997,3.7441561066666793,4.742018593666679,120.93693747366667
1884,1.0097619499999995,3.74929792,4.75905987,125.69599734366668
1885,1.017489157,3.755135893333321,4.772625050333321,130.468622394
1886,1.032987347,3.750091786666679,4.783079133666679,135.25170152766668
1887,1.0842832810000016,3.808825706666679,4.893108987666681,140.14481051533338
1888,1.2013416690000014,3.8004351466666786,5.00177681566668,145.14658733100006
1889,1.202097504000001,3.8350355200000004,5.037133024000001,150.18372035500008
1890,1.3072554750000014,4.11635744,5.423612915000001,155.60733327000008
1891,1.3695984159999997,4.206137653333321,5.57573606933332,161.1830693393334
1892,1.3805362640000016,4.18168656,5.562222824000002,166.7452921633334
1893,1.363179521,4.218888373333321,5.5820678943333215,172.32736005766674
1894,1.4122273029999983,4.303722186666679,5.715949489666677,178.04330954733342
1895,1.4959638500000019,4.290067680000001,5.7860315300000025,183.82934107733342
1896,1.5454508250000007,4.305261066666679,5.85071189166668,189.68005296900012
1897,1.618405320000002,4.3754510933333215,5.993856413333323,195.67390938233345
1898,1.7069665419999993,4.391255146666679,6.098221688666678,201.77213107100013
1899,1.8644241610000003,4.427015786666679,6.29143994766668,208.0635710186668
1900,1.962883788,4.4607368,6.423620588,214.4871916066668
1901,2.0256281709999993,4.585447146666679,6.611075317666678,221.0982669243335
1902,2.0769559899999996,4.627754133333321,6.704710123333321,227.80297704766681
1903,2.2645918480000002,4.66309952,6.9276913680000005,234.73066841566683
1904,2.290254947999999,4.77190810666668,7.062163054666678,241.7928314703335
1905,2.4405705290000013,4.803894826666679,7.24446535566668,249.0372968260002
