year,scenario,ch4_gtch4_per_year_excl_lulucf,co2_gtco2_per_year_excl_lulucf,f_gases_gtco2e_ar6gwp100_per_year_excl_lulucf,kyoto_ghg_gtco2e_ar6gwp100_per_year_excl_lulucf,n2o_gtn2o_per_year_excl_lulucf
1750,HISTCR,0.0269,0.000342,0.0,0.782,0.000112
1750,HISTTP,0.0269,0.000341,0.0,0.795,0.000159
1751,HISTCR,0.027,0.00948,0.0,0.794,0.000114
1751,HISTTP,0.027,0.0097,0.0,0.807,0.000161
1752,HISTCR,0.0271,0.00948,0.0,0.796,0.000115
1752,HISTTP,0.0271,0.0097,0.0,0.81,0.000163
1753,HISTCR,0.0271,0.00948,0.0,0.799,0.000117
1753,HISTTP,0.0272,0.0097,0.0,0.812,0.000165
1754,HISTCR,0.0272,0.00948,0.0,0.801,0.000119
1754,HISTTP,0.0272,0.00971,0.0,0.815,0.000167
1755,HISTCR,0.0273,0.00949,0.0,0.804,0.00012
1755,HISTTP,0.0273,0.00971,0.0,0.817,0.000169
1756,HISTCR,0.0274,0.0101,0.0,0.807,0.000122
1756,HISTTP,0.0274,0.0104,0.0,0.821,0.000171
1757,HISTCR,0.0274,0.0101,0.0,0.81,0.000124
1757,HISTTP,0.0274,0.0104,0.0,0.823,0.000173
1758,HISTCR,0.0275,0.0101,0.0,0.812,0.000126
1758,HISTTP,0.0275,0.0104,0.0,0.826,0.000174
1759,HISTCR,0.0276,0.0102,0.0,0.815,0.000127
1759,HISTTP,0.0276,0.0104,0.0,0.829,0.000176
1760,HISTCR,0.0277,0.0102,0.0,0.817,0.000129
1760,HISTTP,0.0277,0.0104,0.0,0.831,0.000178
1761,HISTCR,0.0277,0.0111,0.0,0.821,0.000131
1761,HISTTP,0.0277,0.0114,0.0,0.835,0.00018
1762,HISTCR,0.0278,0.0111,0.0,0.823,0.000133
1762,HISTTP,0.0278,0.0114,0.0,0.837,0.000182
1763,HISTCR,0.0279,0.0111,0.0,0.825,0.000134
1763,HISTTP,0.0279,0.0114,0.0,0.839,0.000184
1764,HISTCR,0.0279,0.0111,0.0,0.828,0.000136
1764,HISTTP,0.0279,0.0114,0.0,0.842,0.000186
1765,HISTCR,0.028,0.0111,0.0,0.83,0.000138
1765,HISTTP,0.028,0.0114,0.0,0.844,0.000188
1766,HISTCR,0.0281,0.0124,0.0,0.834,0.00014
1766,HISTTP,0.0281,0.0127,0.0,0.848,0.00019
1767,HISTCR,0.0282,0.0124,0.0,0.836,0.000141
1767,HISTTP,0.0282,0.0127,0.0,0.851,0.000192
1768,HISTCR,0.0282,0.0124,0.0,0.839,0.000143
1768,HISTTP,0.0282,0.0127,0.0,0.853,0.000194
1769,HISTCR,0.0283,0.0124,0.0,0.841,0.000145
1769,HISTTP,0.0283,0.0127,0.0,0.856,0.000196
1770,HISTCR,0.0284,0.0124,0.0,0.843,0.000147
1770,HISTTP,0.0284,0.0127,0.0,0.858,0.000198
1771,HISTCR,0.0286,0.0138,0.0,0.852,0.000149
1771,HISTTP,0.0286,0.0141,0.0,0.866,0.0002
1772,HISTCR,0.0288,0.0138,0.0,0.859,0.000151
1772,HISTTP,0.0288,0.0141,0.0,0.873,0.000202
1773,HISTCR,0.029,0.0138,0.0,0.865,0.000153
1773,HISTTP,0.029,0.0141,0.0,0.88,0.000205
1774,HISTCR,0.0293,0.0138,0.0,0.872,0.000155
1774,HISTTP,0.0293,0.0141,0.0,0.887,0.000207
1775,HISTCR,0.0295,0.0138,0.0,0.879,0.000157
1775,HISTTP,0.0295,0.0141,0.0,0.894,0.000209
1776,HISTCR,0.0297,0.0152,0.0,0.887,0.000159
1776,HISTTP,0.0297,0.0156,0.0,0.902,0.000211
1777,HISTCR,0.0299,0.0153,0.0,0.894,0.000161
1777,HISTTP,0.0299,0.0156,0.0,0.909,0.000213
