Annual mean global surface dry-air mole fractions derived from NOAA/GML measurements and historical records,,,,,,,,,,,,,,,,,,,,,,
,Used to derive radiative forcing and the AGGI for 2025,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HCFC-22,CFC-113,CFC-11,HCFC-141b,CCl4,CFC-12,HCFC-142b,CH3CCl3,H-1211,H-1301,H-2402,HFC-134a,HFC-152a,HFC-143a,HFC-125,HFC-365mfc,HFC-227ea,HFC-23,SF6
,ppm,ppb,ppb,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt
1979.5,336.9,1577.6,300.9,38.6,18.8,159.0,nd,92.6,286.4,0.3,78.7,0.39,0.21,0.10,nd,nd,nd,nd,nd,nd,2.80,0.75
1980.5,338.9,1594.7,301.1,42.4,21.5,167.9,nd,94.0,301.8,0.3,85.9,0.48,0.28,0.11,nd,nd,nd,nd,nd,nd,3.12,0.85
1981.5,340.1,1611.9,302.0,46.2,24.4,175.9,nd,94.9,319.2,0.3,92.2,0.58,0.35,0.13,nd,nd,nd,nd,nd,nd,3.45,0.96
1982.5,340.9,1629.2,303.2,50.0,27.6,184.0,nd,95.9,335.3,0.4,96.3,0.70,0.44,0.15,nd,nd,nd,nd,nd,nd,3.79,1.06
1983.5,342.5,1636.9,303.8,54.2,31.0,193.0,nd,97.3,352.6,0.4,100.7,0.83,0.55,0.17,nd,nd,nd,nd,nd,nd,4.13,1.19
1984.5,344.1,1644.7,304.7,58.5,35.4,201.5,nd,98.8,367.5,0.5,105.7,0.98,0.67,0.19,nd,nd,nd,nd,nd,nd,4.51,1.31
1985.5,345.5,1657.3,305.3,62.9,40.0,212.9,nd,99.9,383.6,0.5,109.6,1.15,0.81,0.21,nd,nd,nd,nd,nd,nd,4.90,1.46
1986.5,347.0,1670.1,306.4,67.4,44.3,223.1,nd,101.1,402.6,0.6,112.1,1.35,0.97,0.23,nd,nd,nd,nd,nd,nd,5.31,1.61
1987.5,348.7,1682.7,306.1,72.4,50.5,233.9,nd,102.4,423.4,0.8,116.3,1.59,1.16,0.25,nd,nd,nd,nd,nd,nd,5.75,1.78
1988.5,351.2,1693.1,306.7,78.2,57.9,244.8,nd,103.5,447.7,1.0,121.7,1.87,1.36,0.28,nd,nd,nd,nd,nd,nd,6.22,1.95
1989.5,352.8,1704.5,307.9,84.3,64.5,253.4,nd,104.5,466.8,1.2,124.5,2.16,1.56,0.30,nd,nd,nd,nd,nd,nd,6.77,2.14
1990.5,354.1,1714.4,308.7,90.4,70.3,259.5,nd,105.6,481.8,1.7,127.9,2.45,1.75,0.33,nd,nd,nd,nd,nd,nd,7.36,2.33
1991.5,355.4,1724.8,309.3,96.7,76.0,264.0,nd,105.7,493.8,2.4,130.9,2.71,1.91,0.35,nd,nd,nd,nd,nd,nd,7.98,2.54
1992.5,356.1,1735.5,309.8,101.9,80.2,266.7,0.35,107.6,505.9,3.2,135.2,2.89,2.17,0.36,0.27,0.42,0.56,0.14,nd,nd,8.64,2.75
1993.5,356.8,1736.5,310.2,105.6,82.2,268.0,0.71,106.8,512.0,4.4,128.9,3.06,2.32,0.39,0.48,0.50,0.63,0.17,nd,nd,9.33,2.98
1994.5,358.3,1742.1,310.7,111.4,83.7,267.9,1.94,105.8,516.7,5.7,118.6,3.29,2.55,0.43,0.88,0.59,0.71,0.19,nd,nd,10.02,3.20
1995.5,360.2,1748.9,310.8,116.2,83.9,266.2,3.48,105.0,523.8,6.6,105.9,3.45,2.56,0.46,1.67,0.69,0.85,0.26,nd,nd,10.69,3.46
