Year,CO2,CH4,N2O,CFC*,HCFCs,HFCs*,Total,Total,1990 = 1,change *
1979,1.054,0.432,0.108,0.194,0.008,0.001,1.796,389,0.780,0.000
1980,1.088,0.439,0.108,0.204,0.009,0.001,1.849,393,0.803,2.3
1981,1.107,0.446,0.111,0.215,0.010,0.001,1.890,396,0.822,1.8
1982,1.119,0.453,0.115,0.226,0.011,0.001,1.925,399,0.837,1.5
1983,1.147,0.456,0.117,0.237,0.012,0.001,1.970,402,0.856,2.0
1984,1.172,0.459,0.120,0.248,0.013,0.002,2.013,405,0.875,1.9
1985,1.195,0.464,0.122,0.260,0.014,0.002,2.057,409,0.894,1.9
1986,1.219,0.469,0.126,0.273,0.015,0.002,2.103,412,0.914,2.0
1987,1.246,0.474,0.125,0.287,0.016,0.002,2.150,416,0.934,2.0
1988,1.286,0.478,0.127,0.304,0.017,0.002,2.213,421,0.962,2.8
1989,1.311,0.483,0.131,0.317,0.018,0.003,2.262,425,0.983,2.1
1990,1.332,0.487,0.133,0.327,0.020,0.003,2.301,428,1.000,1.7
1991,1.353,0.491,0.135,0.335,0.021,0.003,2.338,431,1.016,1.6
1992,1.364,0.495,0.137,0.343,0.022,0.003,2.364,433,1.028,1.1
1993,1.375,0.495,0.138,0.346,0.024,0.004,2.382,434,1.035,0.8
1994,1.399,0.497,0.140,0.348,0.025,0.004,2.413,437,1.049,1.4
1995,1.427,0.500,0.140,0.349,0.027,0.005,2.448,440,1.064,1.5
1996,1.455,0.501,0.142,0.350,0.028,0.005,2.481,443,1.078,1.4
1997,1.472,0.502,0.145,0.350,0.030,0.006,2.505,445,1.089,1.1
1998,1.513,0.506,0.148,0.350,0.031,0.007,2.555,449,1.111,2.2
1999,1.545,0.509,0.152,0.350,0.033,0.008,2.596,452,1.128,1.7
2000,1.563,0.509,0.155,0.349,0.035,0.008,2.619,454,1.138,1.0
2001,1.587,0.509,0.158,0.348,0.036,0.010,2.647,456,1.150,1.2
2002,1.617,0.509,0.160,0.347,0.038,0.011,2.682,459,1.166,1.5
2003,1.656,0.511,0.162,0.345,0.039,0.012,2.725,463,1.184,1.9
2004,1.683,0.511,0.164,0.344,0.040,0.013,2.755,466,1.197,1.3
2005,1.713,0.510,0.166,0.342,0.042,0.015,2.788,469,1.212,1.4
2006,1.745,0.510,0.170,0.340,0.043,0.016,2.825,472,1.228,1.6
2007,1.771,0.512,0.172,0.338,0.045,0.018,2.856,475,1.241,1.4
2008,1.802,0.514,0.175,0.336,0.048,0.020,2.894,478,1.258,1.6
2009,1.824,0.517,0.177,0.334,0.049,0.021,2.922,481,1.270,1.2
2010,1.857,0.519,0.180,0.331,0.051,0.023,2.961,484,1.287,1.7
2011,1.884,0.520,0.183,0.329,0.053,0.025,2.994,487,1.301,1.4
2012,1.913,0.522,0.186,0.327,0.054,0.026,3.029,490,1.316,1.5
2013,1.953,0.524,0.189,0.324,0.056,0.028,3.074,494,1.336,2.0
2014,1.980,0.528,0.193,0.322,0.057,0.030,3.110,498,1.352,1.6
2015,2.013,0.532,0.196,0.320,0.058,0.032,3.152,502,1.370,1.8
2016,2.062,0.535,0.199,0.318,0.059,0.035,3.208,507,1.394,2.4
2017,2.092,0.538,0.201,0.316,0.060,0.037,3.244,510,1.410,1.6
2018,2.125,0.541,0.205,0.314,0.060,0.040,3.285,514,1.428,1.8
2019,2.159,0.544,0.208,0.312,0.061,0.042,3.326,518,1.446,1.8
2020,2.192,0.549,0.211,0.309,0.061,0.044,3.366,522,1.463,1.8
2021,2.223,0.554,0.215,0.306,0.061,0.047,3.407,526,1.481,1.8
2022,2.256,0.560,0.219,0.303,0.061,0.050,3.450,530,1.499,1.9
2023,2.287,0.564,0.223,0.301,0.061,0.052,3.487,534,1.516,1.6
2024,2.333,0.567,0.226,0.298,0.060,0.055,3.539,539,1.538,2.3
