dataset_id,source_id,record_type,model,scenario,scenario_family,geography,geography_code,region_level,year,metric,technology,technology_detail,scope,value,unit,source_value,source_unit,source_variable,upstream_status,source_vintage,source_file
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1965,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,923.198,TWh,923.198,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1965,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,25.54,TWh,25.54,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1965,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1965,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1966,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,983.817,TWh,983.817,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1966,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,34.433,TWh,34.433,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1966,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1966,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1967,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1005.742,TWh,1005.742,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1967,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,41.006,TWh,41.006,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1967,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1967,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1968,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1059.289,TWh,1059.289,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1968,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,52.113,TWh,52.113,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1968,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1968,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1969,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1121.742,TWh,1121.742,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1969,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,61.783,TWh,61.783,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1969,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1969,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1970,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1174.65,TWh,1174.65,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1970,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,78.875,TWh,78.875,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1970,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1970,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1971,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1227.242,TWh,1227.242,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1971,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,109.704,TWh,109.704,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1971,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1971,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1972,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1284.629,TWh,1284.629,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1972,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,152.175,TWh,152.175,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1972,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1972,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1973,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1303.013,TWh,1303.013,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1973,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,203.902,TWh,203.902,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1973,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1973,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1974,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1431.232,TWh,1431.232,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1974,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,266.6,TWh,266.6,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1974,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1974,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1975,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1448.883,TWh,1448.883,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1975,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,369.848,TWh,369.848,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1975,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1975,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1976,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1443.137,TWh,1443.137,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1976,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,432.671,TWh,432.671,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1976,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1976,electricity_generation,wind,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,wind_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1977,electricity_generation,hydropower,,all_generation_reported_by_upstream_compilation,1491.672,TWh,1491.672,TWh,hydro_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1977,electricity_generation,nuclear,,all_generation_reported_by_upstream_compilation,538.548,TWh,538.548,TWh,nuclear_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
DS-OWID-ENERGY,SRC-OWID-ENERGY,historical,,,,World,OWID_WRL,world,1977,electricity_generation,solar,,all_generation_reported_by_upstream_compilation,0.0,TWh,0.0,TWh,solar_electricity,historical_compilation; latest years may be estimated upstream,downloaded_2026-08-01,owid-energy-data.csv
