dataset_id,source_id,record_type,model,scenario,scenario_family,geography,geography_code,region_level,year,metric,technology,technology_detail,scope,value,unit,source_value,source_unit,source_variable,upstream_status,source_vintage,source_file
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,bioenergy,Bioenergy,on_grid_plus_off_grid,31.10818,GW,31108.18,MW,Bioenergy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,fossil_fuels_total,Fossil fuels,on_grid_plus_off_grid,2246.73839,GW,2246738.39,MW,Fossil fuels,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,geothermal,Geothermal energy,on_grid_plus_off_grid,8.2727,GW,8272.7,MW,Geothermal energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,hydropower,Renewable hydropower,on_grid_plus_off_grid,706.27649,GW,706276.49,MW,Renewable hydropower,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,marine_energy,Marine energy,on_grid_plus_off_grid,0.23825,GW,238.25,MW,Marine energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,nonrenewables_total,Total non-renewable energy,on_grid_plus_off_grid,2610.91005,GW,2610910.05,MW,Total non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,nuclear,Nuclear energy,on_grid_plus_off_grid,358.4615,GW,358461.5,MW,Nuclear energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,other_nonrenewable,Other non-renewable energy,on_grid_plus_off_grid,3.40916,GW,3409.16,MW,Other non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,other_nonrenewable_nec,Other non-renewable energy n.e.s.,on_grid_plus_off_grid,0.26345,GW,263.45,MW,Other non-renewable energy n.e.s.,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,pumped_hydro_storage,Pumped hydro,on_grid_plus_off_grid,80.83855,GW,80838.55,MW,Pumped hydro,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,renewables_total,Total renewable energy,on_grid_plus_off_grid,764.07766,GW,764077.66,MW,Total renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,solar,Solar energy,on_grid_plus_off_grid,1.22111,GW,1221.11,MW,Solar energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2000,installed_capacity,wind,Wind energy,on_grid_plus_off_grid,16.96093,GW,16960.93,MW,Wind energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,bioenergy,Bioenergy,on_grid_plus_off_grid,33.53561,GW,33535.61,MW,Bioenergy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,fossil_fuels_total,Fossil fuels,on_grid_plus_off_grid,2317.09467,GW,2317094.67,MW,Fossil fuels,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,geothermal,Geothermal energy,on_grid_plus_off_grid,7.9607,GW,7960.7,MW,Geothermal energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,hydropower,Renewable hydropower,on_grid_plus_off_grid,718.18305,GW,718183.05,MW,Renewable hydropower,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,marine_energy,Marine energy,on_grid_plus_off_grid,0.24025,GW,240.25,MW,Marine energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,nonrenewables_total,Total non-renewable energy,on_grid_plus_off_grid,2683.3987,GW,2683398.7,MW,Total non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,nuclear,Nuclear energy,on_grid_plus_off_grid,360.3225,GW,360322.5,MW,Nuclear energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,other_nonrenewable,Other non-renewable energy,on_grid_plus_off_grid,3.16973,GW,3169.73,MW,Other non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,other_nonrenewable_nec,Other non-renewable energy n.e.s.,on_grid_plus_off_grid,0.22445,GW,224.45,MW,Other non-renewable energy n.e.s.,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,pumped_hydro_storage,Pumped hydro,on_grid_plus_off_grid,77.72255,GW,77722.55,MW,Pumped hydro,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,renewables_total,Total renewable energy,on_grid_plus_off_grid,785.2058,GW,785205.8,MW,Total renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,solar,Solar energy,on_grid_plus_off_grid,1.33167,GW,1331.67,MW,Solar energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,wind,Wind energy,on_grid_plus_off_grid,23.95452,GW,23954.52,MW,Wind energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,bioenergy,Bioenergy,on_grid_plus_off_grid,35.49146,GW,35491.46,MW,Bioenergy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,fossil_fuels_total,Fossil fuels,on_grid_plus_off_grid,2416.56924,GW,2416569.24,MW,Fossil fuels,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,geothermal,Geothermal energy,on_grid_plus_off_grid,8.1132,GW,8113.2,MW,Geothermal energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,hydropower,Renewable hydropower,on_grid_plus_off_grid,729.90281,GW,729902.81,MW,Renewable hydropower,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,marine_energy,Marine energy,on_grid_plus_off_grid,0.24325,GW,243.25,MW,Marine energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,nonrenewables_total,Total non-renewable energy,on_grid_plus_off_grid,2789.73643,GW,2789736.43,MW,Total non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,nuclear,Nuclear energy,on_grid_plus_off_grid,366.6805,GW,366680.5,MW,Nuclear energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
