year,population_millions,total_withdrawals_bgd,public_supply_bgd,self_supplied_domestic_bgd,livestock_bgd,irrigation_bgd,thermoelectric_bgd,industrial_bgd,fresh_groundwater_bgd,fresh_surface_water_bgd,saline_surface_water_bgd,source_id,accounting_note
1950,150.7,180,14,2.1,1.5,89,40,37,34,140,10,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
1955,164.0,240,17,2.1,1.5,110,72,39,47,180,18,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
1960,179.3,270,21,2.0,1.6,110,100,38,50,190,31,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
1965,193.8,310,24,2.3,1.7,120,130,46,60,210,43,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
1970,205.9,370,27,2.6,1.9,130,170,47,68,250,53,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
1975,216.4,420,29,2.8,2.1,140,200,45,82,260,69,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
1980,229.6,430,33,3.4,2.2,150,210,45,83,280,71,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
1985,242.4,397,36.6,3.32,2.23,135,187,25.8,73.4,263,59.6,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
1990,252.3,404,38.7,3.39,2.25,134,194,22.4,79.4,255,68.7,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
1995,267.1,398,40.2,3.39,2.28,130,190,21.6,76.4,261,59.7,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
2000,285.3,413,43.3,3.58,2.37,139,195,19.5,84.3,265,61,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
2005,300.7,410,44.4,3.73,2.15,127,201,18.1,78.9,270,59.8,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
2010,312.6,354,42.0,3.53,2.00,116,162,16.2,75.9,231,45,USGS-CIR1441,"Historical USGS withdrawal estimates; categories and methods changed over time"
2015,325.0,322,39.0,3.26,2.00,118,133,14.8,82.3,198,38.6,USGS-CIR1441,"Last fully comparable all-category national inventory in this package"
